Data/Hora;Cargo;Empresa;Local;Status;Link da Vaga
01/12/2025 03:40;Desenvolvedor de Software (Pleno/Sênior);Apogeu Tech;Brasil;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:41;Python Developer;Tata Consultancy Services;Brasil;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:41;Desenvolvedor Python;Stefanini Brasil;Brasil;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:41;Desenvolvedor júnior;Primo Capital;Brasil;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:41;Estágio em Desenvolvimento Back-end;T-Systems do Brasil;Brasil;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:41;Desenvolvedor Python;Mouts TI;Brasil;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:41;Desenvolvedor júnior;MLPro | Soluções PPM para PMOs;Brasil;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:42;Engenheiro de aprendizagem de máquina;PD Case Informática Ltda;João Pessoa;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:42;Estagiário(a) de TI - Inteligência Artificial;Cyrela;João Pessoa;Link Externo (Não clicado);https://www.linkedin.com/jobs/search/
01/12/2025 03:42;Estágio AWS - Foco em IA;Cloudster;João Pessoa;Link Externo (Não clicado);https://www.linkedin.com/jobs/search/
01/12/2025 03:42;Estágio Desenvolvimento Web;SeuBoné;João Pessoa;Link Externo (Não clicado);https://www.linkedin.com/jobs/search/
01/12/2025 03:42;Staff Software Engineer;Flexcode Software;Remote;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:42;Python Developer;Tata Consultancy Services;Remote;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
01/12/2025 03:43;Python Developer;Tata Consultancy Services;Brasil;Formulário complexo (Manual Necessário) ⚠️;https://www.linkedin.com/jobs/search/
